Step;N 
136900 ; 24
137000 ; 24
137100 ; 34
137200 ; 17
137300 ; 18
137400 ; 19
137500 ; 18
137600 ; 22
137700 ; 16
137800 ; 11
137900 ; 20
138000 ; 20
138100 ; 21
138200 ; 8
138300 ; 28
138400 ; 11
138500 ; 24
138600 ; 18
138700 ; 17
138800 ; 14
138900 ; 14
139000 ; 7
139100 ; 32
139200 ; 15
139300 ; 7
139400 ; 12
139500 ; 12
139600 ; 17
139700 ; 18
139800 ; 23
139900 ; 12
140000 ; 24
140100 ; 31
140200 ; 18
140300 ; 19
140400 ; 16
140500 ; 17
140600 ; 22
140700 ; 21
140800 ; 29
140900 ; 14
141000 ; 14
141100 ; 17
141200 ; 11
141300 ; 27
141400 ; 21
141500 ; 9
141600 ; 16
141700 ; 14
141800 ; 19
141900 ; 14
142000 ; 26
142100 ; 14
142200 ; 22
142300 ; 20
142400 ; 20
142500 ; 16
142600 ; 16
142700 ; 12
142800 ; 15
142900 ; 8
143000 ; 16
143100 ; 24
143200 ; 13
143300 ; 15
143400 ; 29
143500 ; 21
143600 ; 12
143700 ; 42
143800 ; 12
143900 ; 12
144000 ; 14
144100 ; 15
144200 ; 14
144300 ; 12
144400 ; 14
144500 ; 17
144600 ; 28
144700 ; 13
144800 ; 25
144900 ; 28
145000 ; 17
145100 ; 19
145200 ; 20
145300 ; 12
145400 ; 17
145500 ; 13
145600 ; 19
145700 ; 23
145800 ; 11
145900 ; 17
146000 ; 11
146100 ; 13
146200 ; 19
146300 ; 8
146400 ; 19
146500 ; 11
146600 ; 24
146700 ; 28
146800 ; 33
146900 ; 14
147000 ; 27
147100 ; 13
147200 ; 11
147300 ; 15
147400 ; 15
147500 ; 25
147600 ; 27
147700 ; 31
147800 ; 20
147900 ; 15
148000 ; 15
148100 ; 28
148200 ; 16
148300 ; 14
148400 ; 8
148500 ; 12
148600 ; 11
148700 ; 39
148800 ; 9
148900 ; 18
149000 ; 15
149100 ; 40
149200 ; 9
149300 ; 14
149400 ; 14
149500 ; 20
149600 ; 32
149700 ; 25
149800 ; 18
149900 ; 14
150000 ; 21
150100 ; 19
150200 ; 19
150300 ; 6
150400 ; 9
150500 ; 18
150600 ; 18
150700 ; 6
150800 ; 31
150900 ; 12
151000 ; 10
151100 ; 6
151200 ; 25
151300 ; 15
151400 ; 14
151500 ; 14
151600 ; 20
151700 ; 14
151800 ; 16
151900 ; 29
152000 ; 17
152100 ; 25
152200 ; 17
152300 ; 18
152400 ; 30
152500 ; 21
152600 ; 14
152700 ; 22
152800 ; 9
152900 ; 16
153000 ; 14
153100 ; 12
153200 ; 11
153300 ; 15
153400 ; 17
153500 ; 22
153600 ; 34
153700 ; 16
153800 ; 15
153900 ; 16
154000 ; 16
154100 ; 12
154200 ; 13
154300 ; 14
154400 ; 21
154500 ; 14
154600 ; 10
154700 ; 13
154800 ; 26
154900 ; 20
155000 ; 10
155100 ; 18
155200 ; 35
155300 ; 11
155400 ; 14
