Step;N 
151300 ; 276
151400 ; 267
151500 ; 293
151600 ; 275
151700 ; 282
151800 ; 286
151900 ; 298
152000 ; 290
152100 ; 266
152200 ; 275
152300 ; 277
152400 ; 293
152500 ; 263
152600 ; 275
152700 ; 270
152800 ; 291
152900 ; 287
153000 ; 284
153100 ; 272
153200 ; 288
153300 ; 262
153400 ; 273
153500 ; 286
153600 ; 265
153700 ; 284
153800 ; 298
153900 ; 285
154000 ; 275
154100 ; 266
154200 ; 269
154300 ; 300
154400 ; 288
154500 ; 271
154600 ; 286
154700 ; 287
154800 ; 302
154900 ; 273
155000 ; 277
155100 ; 283
155200 ; 281
155300 ; 303
155400 ; 289
155500 ; 277
155600 ; 295
155700 ; 275
155800 ; 297
155900 ; 265
156000 ; 264
156100 ; 296
156200 ; 287
156300 ; 267
156400 ; 268
156500 ; 281
156600 ; 288
156700 ; 280
156800 ; 294
156900 ; 269
157000 ; 289
157100 ; 279
157200 ; 293
157300 ; 293
157400 ; 276
157500 ; 269
157600 ; 290
157700 ; 286
157800 ; 304
157900 ; 275
158000 ; 301
158100 ; 266
158200 ; 265
158300 ; 300
158400 ; 312
158500 ; 294
158600 ; 278
158700 ; 276
158800 ; 281
158900 ; 280
159000 ; 304
159100 ; 277
159200 ; 260
159300 ; 286
159400 ; 285
159500 ; 271
159600 ; 288
159700 ; 279
159800 ; 298
159900 ; 294
160000 ; 280
160100 ; 280
160200 ; 292
160300 ; 288
160400 ; 293
160500 ; 274
160600 ; 279
160700 ; 296
160800 ; 275
160900 ; 292
161000 ; 275
161100 ; 289
161200 ; 281
161300 ; 299
161400 ; 280
161500 ; 296
161600 ; 286
161700 ; 306
161800 ; 261
161900 ; 285
162000 ; 283
162100 ; 283
162200 ; 278
162300 ; 281
162400 ; 289
162500 ; 298
162600 ; 271
162700 ; 287
162800 ; 300
162900 ; 292
163000 ; 281
163100 ; 268
163200 ; 281
163300 ; 276
163400 ; 286
163500 ; 284
163600 ; 287
163700 ; 278
163800 ; 267
163900 ; 283
164000 ; 283
164100 ; 284
164200 ; 289
164300 ; 275
164400 ; 281
164500 ; 282
164600 ; 293
164700 ; 272
164800 ; 290
164900 ; 274
165000 ; 293
165100 ; 292
165200 ; 282
165300 ; 286
165400 ; 271
165500 ; 280
165600 ; 280
165700 ; 287
165800 ; 280
165900 ; 275
166000 ; 267
166100 ; 295
166200 ; 286
166300 ; 286
166400 ; 290
166500 ; 281
166600 ; 294
166700 ; 279
166800 ; 296
166900 ; 279
167000 ; 278
167100 ; 282
167200 ; 285
167300 ; 280
167400 ; 278
167500 ; 285
167600 ; 293
167700 ; 281
167800 ; 275
167900 ; 281
168000 ; 303
168100 ; 292
168200 ; 281
168300 ; 298
